"lang"
{
    "Language" "None"
    "Tokens"
    {
// ---- START OF FILE ----
"Language"                                                                                     "None"
"language"                                                                                     "English"
"addon_game_name"                                                                              "Random Defense Adventure"
"dota_hud_error_already_has_midas"                                                             "The Hand of Midas has already been applied to this player"
"Panorama_Tooltip_Continue"                                                                    "Continue"
"start_chat"                                                                                   "<font color='#00ff00'>Welcome guys to Squirrel World RPG</font> <font color='#ff0000'>To improve server response quality, write to console:</font> <font color='#ffff00'>dota_hud_healthbars 1</font>"
"invok_chat"                                                                                   "<font color='#00ff00'>Congratulations! You completed the game! You can leave it safely or try to kill the Plague Squirrel!</font>"
"2023"                                                                                         "CHRISTMAS BOSS Appears!!!"
"20231"                                                                                        "You have 10 minutes to kill him or he will disappear with his gifts!"
"20232"                                                                                        "After attacking the boss, he will wake up and go to your base!"
"20233"                                                                                        "You didn't have time!"
"gs_diffic"                                                                                    "DIFFICULTY SELECTION"
"gs_easy"                                                                                      "TURBO"
"gs_normal"                                                                                    "NORMAL"
"gs_hard"                                                                                      "HARD"
"gs_ultra"                                                                                     "ULTRA"
"gs_insane"                                                                                    "INSANE"
"gs_hell"                                                                                      "IMPOSSIBLE"
"gs_vote"                                                                                      "VOTE"
"gs_easy_progress"                                                                             "Turbo"
"gs_normal_progress"                                                                           "Normal"
"gs_hard_progress"                                                                             "Hard"
"gs_ultra_progress"                                                                            "Ultra"
"gs_insane_progress"                                                                           "Insane"
"gs_hell_progress"                                                                             "Impossible"
"gs_df_easy"                                                                                   "TURBO<br><br>Incoming damage 125%<br>Outgoing damage 75%<br>Health 75%<br>Recharge 125%"
"gs_df_normal"                                                                                 "NORMAL<br><br>Incoming damage 100%<br>Outgoing damage 100%<br>Health 100%<br>Recharge 100%"
"gs_df_hard"                                                                                   "HARD<br><br>Incoming damage 75%<br>Outgoing damage 100%<br>Health 100%<br>Recharge 75%"
"gs_df_ultra"                                                                                  "ULTRA<br><br>Incoming damage 50%<br>Outgoing damage 150%<br>Health 150%<br>Recharge 50%"
"gs_df_insane"                                                                                 "INSANE<br><br>Incoming damage 25%<br>Outgoing damage 200%<br>Health 200%<br>Recharge 50%<br><br>All players have 5 lives"
"gs_df_hell"                                                                                   "IMPOSSIBLE<br><br>Incoming damage 20%<br>Outgoing damage 300%<br>Health 300%<br>Recharge 50%<br><br>All players have 3 lives"
"game_settings_mmr"                                                                            "RATING"
"game_settings_rp"                                                                             "SHIELDS"
"game_settings_talent"                                                                         "TALENTS"
"panorama_custon_stash_description"                                                            "Special Item Inventory:\nPress Ctrl for instant cast"
"panorama_custon_stash_use_all"                                                                "Use everything"
"panorama_custon_stash_click_for_open"                                                         "Click to open"
"diff_lock"                                                                                    "To unlock this difficulty level, you must defeat the previous one."
"pet_trial_available"                                                                          "Get"
"hot_offer_tooltip"                                                                            "You will receive:<br><br>1. Book of strength<br>2. Book of intelligence<br>3. Book of agility<br>4. Scroll of armor 1 piece<br>5. Scroll of damage 1 piece<br> 6. Scroll of experience 1 piece<br>7. Scroll of movement 1 piece<br>8. Scroll of speed 1 piece<br>9. Scroll of regeneration 1 piece<br>10. Golden tree<br>11. Eternal ward 1 piece<br> 12. Ticket teleportation 3pcs"
"hot_offer"                                                                                    "All in one"
"ui_custom_shop_upgrade_item_status_lable"                                                     "Nothing to upgrade"
"ui_custom_shop_upgrade_item_cost"                                                             "Upgrade cost:"
"ui_custom_shop_upgrade_item_upgrade_button"                                                   "Upgrade"
"ui_custom_shop_upgrade_item_upgrade_button2"                                                  "Insert stones"
"ui_custom_shop_upgrade_item_1"                                                                "Item Level"
"ui_custom_shop_upgrade_item_2"                                                                "Stones"
"ForgeButton_Label"                                                                            "Upgrade Items"
"TutorialDontShowAgainToggleLocalize"                                                          "Don't show again"
"TutorialDontShowAgainLabelLocalize"                                                           "Hints will be displayed before the first victory"
"TutorialButtonLabelLocalize"                                                                  "CLEAR"
"availability_item_upgrade"                                                                    "Can be upgraded"
"min"                                                                                          "Min"
"history_hero"                                                                                 "Hero"
"history_result"                                                                               "Result"
"history_status"                                                                               "In game"
"history_time"                                                                                 "Time"
"history_level"                                                                                "Level"
"players_have_label"                                                                           "##count## players have"
"yest' u"                                                                                      "Got it"
"igrokov"                                                                                      "Players"
"pet_level"                                                                                    "Level"
"pet_tier"                                                                                     "Tier"
"feed_x230"                                                                                    "230 pet food"
"feed_x600"                                                                                    "600 pet food"
"yes"                                                                                          "Yes"
"no"                                                                                           "No"
"pet_buy"                                                                                      "Buy"
"pet_for"                                                                                      "buy for"
"pet_pieces"                                                                                   "pieces"
"feed"                                                                                         "pet food"
"talent_count"                                                                                 "Detailed"
"talents_loading"                                                                              "Loading..."
"win"                                                                                          "Win"
"lose"                                                                                         "Lose"
"in"                                                                                           "In"
"out"                                                                                          "Out"
"history_mode"                                                                                 "History"
"easy"                                                                                         "Turbo"
"normal"                                                                                       "Normal"
"hard"                                                                                         "Hard"
"ultra"                                                                                        "Ultra"
"profil_first_game"                                                                            "First Game"
"pick_rating"                                                                                  "Rating:"
"pick_game"                                                                                    "Games:"
"MagicResistance"                                                                              "sop.mag"
"Arrmor"                                                                                       "armor"
"Name"                                                                                         "Heroes"
"death"                                                                                        "Deaths"
"Items"                                                                                        "Items"
"Healed"                                                                                       "Healed"
"Physical"                                                                                     "Physical damage"
"Magic"                                                                                        "Magic damage"
"Pure"                                                                                         "Pure damage"
"Taken"                                                                                        "Damage taken"
"invoker"                                                                                      "Total damage per Invoker"
"damage_table"                                                                                 "Damage table"
"PanoramaShopInventoryTab"                                                                     "Inventory"
"ratingpoints"                                                                                 "Reits items"
"ratingpoints_4"                                                                               "Unblock Slark"
"done"                                                                                         "OK"
"from"                                                                                         "from the creator"
"taik"                                                                                         "Take"
"issued"                                                                                       "Taken"
"takeoff"                                                                                      "Take off"
"sprаy"                                                                                        "Graffiti"
"highfive"                                                                                     "High Five"
"treasuries"                                                                                   "Treasuries"
"ShopBuyGemsLabel"                                                                             "Buy Gems"
"last_desc"                                                                                    "Take your reward and get out of here!"
"kill"                                                                                         "Kill"
"find"                                                                                         "Naidi"
"open"                                                                                         "Open"
"ignore"                                                                                       "Cancel"
"accept"                                                                                       "Ok"
"belka"                                                                                        "Squirrel"
"effect_1"                                                                                     "Effect"
"effect_2"                                                                                     "Effect"
"effect_3"                                                                                     "Effect"
"effect_4"                                                                                     "Effect"
"effect_5"                                                                                     "Effect"
"effect_6"                                                                                     "Effect"
"effect_7"                                                                                     "Effect"
"effect_8"                                                                                     "Effect"
"effect_9"                                                                                     "Effect"
"effect_10"                                                                                    "Effect"
"effect_11"                                                                                    "Effect"
"effect_12"                                                                                    "Effect"
"effect_13"                                                                                    "Effect"
"effect_14"                                                                                    "Effect"
"effect_15"                                                                                    "Effect"
"effect_16"                                                                                    "Effect"
"effect_17"                                                                                    "Effect"
"effect_18"                                                                                    "Effect"
"effect_19"                                                                                    "Effect"
"effect_20"                                                                                    "Effect"
"effect_21"                                                                                    "Effect"
"effect_22"                                                                                    "Effect"
"effect_23"                                                                                    "Effect"
"effect_24"                                                                                    "Effect"
"rating"                                                                                       "Rating"
"close"                                                                                        "Close"
"games"                                                                                        "Games"
"likes"                                                                                        "Likes"
"dislike"                                                                                      "Disliked"
"reports"                                                                                      "Disliked"
"team"                                                                                         "Team"
"top"                                                                                          "TOP"
"profil"                                                                                       "Profile"
"commens:"                                                                                     "Reviews:"
"soon"                                                                                         "Coming soon!"
"points"                                                                                       "Rating"
"like"                                                                                         "Likes"
"effects"                                                                                      "Effects"
"stock"                                                                                        "Qty"
"consumables"                                                                                  "Consumables"
"other"                                                                                        "Hero Cards"
"pc"                                                                                           "Other"
"Quest_Accept"                                                                                 "Accept"
"Quest_Ignore"                                                                                 "Ignore"
"need_kristal"                                                                                 "Requires Teleportation Crystal to move"
"need_trap_ticket"                                                                             "Requires Teleportation Card to move"
"blacksmith"                                                                                   "Black Market"
"dota_tooltip_ability_item_kristal"                                                            "Crystal of Teleportation"
"dota_tooltip_ability_item_kristal_description"                                                "Allows you to move to the Roshan zone."
"dota_tooltip_ability_item_trap_ticket"                                                        "Card of Teleportation"
"dota_tooltip_ability_item_trap_ticket_description"                                            "Allows you to move to the Trap zone."
"dota_tooltip_ability_item_health_potion"                                                      "Health Potion"
"dota_tooltip_ability_item_health_potion_description"                                          "Restores 10% of maximum health to everyone in a 1000 radius."
"dota_tooltip_ability_item_mana_potion"                                                        "Mana Potion"
"dota_tooltip_ability_item_mana_potion_description"                                            "Restores 10% of maximum mana to everyone in a 1000 radius."
"dota_tooltip_ability_item_bag_of_gold"                                                        "Gold"
"dota_tooltip_ability_item_bag_of_gold_big"                                                    "Gold"
"dota_tooltip_ability_item_box_1"                                                              "Small box with evil spirits"
"dota_tooltip_ability_item_box_1_description"                                                  "Summons evil spirits. \n Can't be placed on base!"
"dota_tooltip_ability_item_box_2"                                                              "Medium box with evil spirits"
"dota_tooltip_ability_item_box_2_description"                                                  "Summons evil spirits. \n Can't be placed on base!"
"dota_tooltip_ability_item_box_3"                                                              "Big box with evil spirits"
"dota_tooltip_ability_item_box_3_description"                                                  "Summons evil spirits. \n Can't be placed on base!"
"quest_item_kletka_on"                                                                         "Cage"
"other_49"                                                                                     "Forever Ward"
"dota_tooltip_ability_item_forever_ward"                                                       "Forever Ward"
"dota_tooltip_ability_item_forever_ward_description"                                           "Forever ward that provides 1600 vision around it"
"dota_tooltip_ability_item_quest_blue_stone"                                                   "Blue Crystal"
"dota_tooltip_ability_item_quest_blue_stone_bonus_attributes"                                  "+ all attributes"
"dota_tooltip_ability_item_quest_moon"                                                         "Necklace of the Moon"
"dota_tooltip_ability_item_quest_raindow_stone"                                                "Raindow Stone"
"dota_tooltip_ability_item_quest_furion_item"                                                  "Furion's Staff"
"dota_tooltip_ability_item_quest_maska"                                                        "Mask"
"dota_tooltip_ability_item_quest_eay"                                                          "Eye"
"dota_tooltip_ability_item_quest_line_helm"                                                    "Helm"
"dota_tooltip_ability_item_quest_line_koren"                                                   "Root"
"dota_tooltip_ability_item_quest_line_ring"                                                    "Ring"
"dota_tooltip_ability_item_quest_line_skull"                                                   "Skull"
"dota_tooltip_ability_item_quest_line_sword"                                                   "Sword"
"dota_tooltip_ability_item_quest_line_dimand"                                                  "Diamond Bracelet"
"dota_tooltip_ability_item_quest_pivo_bara"                                                    "BEER"
"dota_tooltip_ability_item_quest_line_head"                                                    "Mage's Hat"
"dota_tooltip_ability_item_quest_line_head2"                                                   "Hat"
"dota_tooltip_ability_item_quest_line_ice_asd1"                                                "Enchanted Bracers"
"dota_tooltip_ability_item_quest_line_ice_skull"                                               "Ice Skull"
"dota_tooltip_ability_item_quest_line_klyk"                                                    "Fang"
"dota_tooltip_ability_item_quest_line_mirow"                                                   "Mirror"
"dota_tooltip_ability_item_quest_line_pivo"                                                    "Pivas"
"dota_tooltip_ability_item_quest_line_rock"                                                    "Rune"
"dota_tooltip_ability_item_quest_line_sun"                                                     "Sun Sign"
"dota_tooltip_ability_item_quest_line_book"                                                    "Darkhold"
"dota_tooltip_ability_item_quest_line_boots"                                                   "Bots"
"dota_tooltip_ability_item_quest_necronomicon"                                                 "Aggressive Necronomicon"
"dota_tooltip_ability_item_quest_necronomicon_description"                                     "<h1>Active: Call to Action</h1></h1>Summons two necronomicons that are aggressive towards you and for killing them you will receive a reward."
"dota_tooltip_ability_item_key_description"                                                    "Old key!"
"dota_tooltip_ability_item_raid_ticket"                                                        "Boss Raid"
"dota_tooltip_ability_item_raid_ticket_description"                                            "Using this item, you can get to the raid boss, keep in mind that the more allies you have, the easier it will be for you!"
"dota_tooltip_ability_item_raid_ticket2"                                                       "Boss Raid"
"dota_tooltip_ability_item_raid_ticket2_description"                                           "Using this item, you can get to the raid boss, keep in mind that the more allies you have, the easier it will be for you!"
"dota_tooltip_ability_item_raid_ticket3"                                                       "Boss Raid"
"dota_tooltip_ability_item_raid_ticket3_description"                                           "Using this item, you can get to the raid boss, keep in mind that the more allies you have, the easier it will be for you!"
"dota_tooltip_ability_item_raid_ticket4"                                                       "Boss Raid"
"dota_tooltip_ability_item_raid_ticket4_description"                                           "Using this item, you can get to the raid boss, keep in mind that the more allies you have, the easier it will be for you!"
"easy_desc"                                                                                    "Unrated \n Monster Health 75% \n Monster Damage 125% \n Monster Damage 75% \n Monster Skill CD 125%"
"normal_desc"                                                                                  "Rated \n Monster health 100% \n Monster damage 100% \n Monster damage 100% \n Monster skill cooldown 100%"
"hard_desc"                                                                                    "Rating x2 \n Monster health 200% \n Monster damage 75% \n Monster damage 200% \n Monster skill cooldown 75%"
"ultra_desc"                                                                                   "Rating x3 \n Monster health 250% \n Monster damage 50% \n Monster damage 250% \n Monster skill cooldown 50%"
"insane_desc"                                                                                  "Rating x4 \n Monster health 300% \n Monster damage 25% \n Monster damage 300% \n Monster skill cooldown 50%"
"dota_tooltip_modifier_easy"                                                                   "Easy difficulty"
"dota_tooltip_modifier_normal"                                                                 "Normal difficulty"
"dota_tooltip_modifier_hard"                                                                   "Hard difficulty"
"dota_tooltip_modifier_ultra"                                                                  "Ultra difficulty"
"dota_tooltip_modifier_insane"                                                                 "Impossible difficulty"
"dota_tooltip_modifier_easy_description"                                                       "Unrated \n Monster Health 75% \n Monster Damage 125% \n Monster Damage 75% \n Monster Skill CD 125%"
"dota_tooltip_modifier_normal_description"                                                     "Rated \n Monster Health 100% \n Monster Damage 100% \n Monster Damage 100% \n Monster Skill CD 100%"
"dota_tooltip_modifier_hard_description"                                                       "Rating x2 \n Monster health 200% \n Monster damage 75% \n Monster damage 200% \n Monster skill cooldown 75%"
"dota_tooltip_modifier_ultra_description"                                                      "Rating x3 \n Monster health 250% \n Monster damage 50% \n Monster damage 250% \n Monster skill cooldown 50%"
"dota_tooltip_modifier_insane_description"                                                     "Rating x4 \n Monster health 300% \n Monster damage 25% \n Monster damage 300% \n Monster skill cooldown 50%"
"event_dragon"                                                                                 "The forces of evil sent the Golden Dragon into this world. You will lose your gold until you kill him!"
"event_babka"                                                                                  "The forces of evil sent their Magician into this world. He cursed you! Kill the mage to remove the curse!"
"event_roshan"                                                                                 "The Golden Roshan appeared in this world, find and attack it before it disappears!"
"dota_tooltip_modifier_babka_spell_aura"                                                       "You were cursed"
"dota_tooltip_modifier_babka_spell_aura_description"                                           "Indicators of damage, health, armor, magic resistance and rate of decline, cooldown increased."
"goldendragon"                                                                                 "Golden Dragon"
"babka"                                                                                        "Magician"
"npc_treasure_chest"                                                                           "Golden Roshan"
"talant_examine_btn"                                                                           "Learn"
"talant_button_examine"                                                                        "Learn"
"talant_nrom_exp_description"                                                                  "Blue experience:"
"talant_don_exp_description"                                                                   "Gold experience:"
"talant_don_exp_label"                                                                         "Golden experience"
"talant_games_description"                                                                     "Games:"
"talant_time_description"                                                                      "Time:"
"talant_shop_refresh"                                                                          "Talent reset"
"talant-shop-refresh-description"                                                              "You can reset the hero's Talents. The accumulated experience and levels gained will not be lost"
"talant_shop_exp_pack_1"                                                                       "Book for 1000 experience"
"talant-shop-exp-pack-1-description"                                                           "Increases the experience of the hero's talents by 1000 units."
"talant_shop_exp_pack_2"                                                                       "Book for 5000 experience"
"talant-shop-exp-pack-2-description"                                                           "Increases the experience of the hero's talents by 5000 units."
"talant_shop_exp_pack_3"                                                                       "Book for 15000 experience"
"talant-shop-exp-pack-3-description"                                                           "Increases the experience of the hero's talents by 15000 units."
"talant_shop_don_exp_pack_1"                                                                   "Golden Book of Experience"
"talant-shop-don-exp-pack-1-description"                                                       "Increases the experience of the hero's gold talents by 1000 units."
"talant_shop_don_exp_pack_2"                                                                   "Golden Book of Experience"
"talant-shop-don-exp-pack-2-description"                                                       "Increases the experience of the hero's gold talents by 5000 units."
"talant_shop_don_exp_pack_3"                                                                   "Golden Book of Experience"
"talant-shop-don-exp-pack-3-description"                                                       "Increases the experience of the hero's gold talents by 15000 units."
"InTreasuriesLabel"                                                                            "in treasury"
"TreasuriesPreviewLabel"                                                                       "view"
"tooltip_talant_30_level"                                                                      "Level 30 Talent"
"tooltip_talant_50_level"                                                                      "Level 50 talent"
"tier"                                                                                         "TIER"
"improve"                                                                                      "improve"
"max"                                                                                          "MAX"
"pet_plus_one_level"                                                                           "+1 lvl"
"auto_pet"                                                                                     "AUTO CHOICE"
"quest_talent_exp"                                                                             "Talent Experience:"
"quest_automatic_surrender"                                                                    "Automatic chain surrender and renewal"
"quest_automatic_surrender_tooltip"                                                            "Available only to players with an active subscription"
"quest_trial_period"                                                                           "Available games: ##count##"
"pet_equip"                                                                                    "Equip"
"pet_equip2"                                                                                   "Equip"
"CustomAbility_pet_custom_tooltip"                                                             "A faster pet can be purchased with in-game currency"
"open_treasure"                                                                                "open"
"buy_treasure"                                                                                 "buy"
"duplicate_item_info"                                                                          "You already own this item, you will receive it"
"duplicate_item_back"                                                                          "back"
"spin_header"                                                                                  "OPEN CHEST"
"spin_again"                                                                                   "Open more"
"spin_close"                                                                                   "Accept"
"spin_received"                                                                                "YOU RECEIVED"
"spin_skip"                                                                                    "Skip"
"spin_treasures_left"                                                                          "Tries left: ##tries##"
"QuickUseLabel"                                                                                "Use"
"spray"                                                                                        "Graffiti"
"treasurie1"                                                                                   "Chest 1"
"treasurie2"                                                                                   "Chest 2"
"treasurie3"                                                                                   "Chest 3"
"treasure_preview_header"                                                                      "chest opening"
"treasurie1_spray1"                                                                            "Dark Seer"
"treasurie1_spray2"                                                                            "Monkey King"
"treasurie1_spray3"                                                                            "Invoker 1"
"treasurie1_spray4"                                                                            "Lina"
"treasurie1_spray5"                                                                            "Marci"
"treasurie1_spray6"                                                                            "Pudge"
"treasurie1_spray7"                                                                            "Nevermor"
"treasurie1_spray8"                                                                            "Zeus"
"treasurie1_spray9"                                                                            "Silencer"
"treasurie1_spray10"                                                                           "Chicken"
"treasurie1_spray11"                                                                           "Dark Willow"
"treasurie1_spray12"                                                                           "Invoker 2"
"treasurie1_spray13"                                                                           "Jakiro"
"treasurie1_spray14"                                                                           "Juggernaut"
"treasurie1_spray15"                                                                           "Keeper of the Light"
"treasurie1_spray16"                                                                           "Slime"
"treasurie2_spray1"                                                                            "Furion"
"treasurie2_spray2"                                                                            "Ogre Magi"
"treasurie2_spray3"                                                                            "Roshan 1"
"treasurie2_spray4"                                                                            "Rubick"
"treasurie2_spray5"                                                                            "Snapfire"
"treasurie2_spray6"                                                                            "Sven"
"treasurie2_spray7"                                                                            "Techies"
"treasurie2_spray8"                                                                            "Troll"
"treasurie2_spray9"                                                                            "RIP"
"treasurie2_spray10"                                                                           "WK"
"treasurie2_spray11"                                                                           "Brewmaster"
"treasurie2_spray12"                                                                           "Doom Anime"
"treasurie2_spray13"                                                                           "Squirrel"
"treasurie2_spray14"                                                                           "Necrolyte"
"treasurie2_spray15"                                                                           "Phantom Assassin"
"treasurie2_spray16"                                                                           "Feed"
"treasurie3_spray1"                                                                            "Fat"
"treasurie3_spray2"                                                                            "You Die"
"treasurie3_spray3"                                                                            "Huskar"
"treasurie3_spray4"                                                                            "Magnus"
"treasurie3_spray5"                                                                            "Arteezy"
"treasurie3_spray6"                                                                            "Fine"
