"lang"
{
    "Language" "None"
    "Tokens"
    {
// ---- START OF FILE ----
"language"                                                                                     "Chinese"
"addon_game_name"                                                                              "随机防御冒险"
"start_chat"                                                                                   "<font color='#00ff00'>欢迎大家来到 Squirrel World RPG</font> <font color='#ff0000'>为了提高服务器响应质量，写信到控制台：</font> <font color= '#ffff00'>dota_hud_healthbars 1</font>"
"invok_chat"                                                                                   "<font color='#00ff00'>恭喜！您完成了游戏！您可以安全离开游戏或尝试杀死瘟疫松鼠！</font>"
"2023"                                                                                         "圣诞BOSS登场！！!"
"20231"                                                                                        "你有 10 分钟的时间杀死他，否则他会带着礼物消失！"
"20232"                                                                                        "攻击boss后，他会苏醒，前往你的基地！"
"20233"                                                                                        "你没来得及！"
"min"                                                                                          "分鐘"
"history_hero"                                                                                 "英雄"
"history_result"                                                                               "結果"
"history_status"                                                                               "在遊戲中"
"history_time"                                                                                 "時間"
"history_level"                                                                                "等級"
"yest' u"                                                                                      "知道了"
"igrokov"                                                                                      "球員"
"pet_level"                                                                                    "等級"
"pet_tier"                                                                                     "等級"
"feed_x230"                                                                                    "230個寵物食品"
"feed_x600"                                                                                    "600個寵物食品"
"yes"                                                                                          "它是"
"no"                                                                                           "沒有"
"pet_buy"                                                                                      "買"
"pet_for"                                                                                      "為...買"
"pet_pieces"                                                                                   "數量"
"feed"                                                                                         "寵物食品"
"talent_count"                                                                                 "詳細的"
"talents_loading"                                                                              "正在加載/\/\/"
"win"                                                                                          "贏"
"lose"                                                                                         "我知道"
"in"                                                                                           "在"
"out"                                                                                          "出去"
"history_mode"                                                                                 "歷史"
"easy"                                                                                         "渦輪"
"normal"                                                                                       "普通的"
"hard"                                                                                         "難的"
"ultra"                                                                                        "極端主義者"
"profil_first_game"                                                                            "第一場比賽"
"pick_rating"                                                                                  "評分："
"pick_game"                                                                                    "遊戲："
"MagicResistance"                                                                              "魔法抵抗力"
"Arrmor"                                                                                       "盔甲"
"Name"                                                                                         "英雄"
"death"                                                                                        "死亡人數"
"Items"                                                                                        "項目"
"Healed"                                                                                       "痊癒"
"Physical"                                                                                     "物理傷害"
"Magic"                                                                                        "魔法傷害"
"Pure"                                                                                         "純傷害"
"Taken"                                                                                        "受到傷害"
"invoker"                                                                                      "召喚師傷害"
"damage_table"                                                                                 "損壞表"
"ratingpoints"                                                                                 "評級項目"
"ratingpoints_4"                                                                               "解鎖斯拉克"
"from"                                                                                         "問候創作者"
"taik"                                                                                         "拿"
"issued"                                                                                       "採取"
"takeoff"                                                                                      "脫掉"
"last_desc"                                                                                    "拿走你的獎勵然後離開"
"kill"                                                                                         "殺"
"find"                                                                                         "尋找"
"open"                                                                                         "打開"
"ignore"                                                                                       "取消"
"accept"                                                                                       "好的"
"belka"                                                                                        "松鼠"
"effect_1"                                                                                     "影響"
"effect_2"                                                                                     "影響"
"effect_3"                                                                                     "影響"
"effect_4"                                                                                     "影響"
"effect_5"                                                                                     "影響"
"effect_6"                                                                                     "影響"
"effect_7"                                                                                     "影響"
"effect_8"                                                                                     "影響"
"effect_9"                                                                                     "影響"
"effect_10"                                                                                    "影響"
"effect_11"                                                                                    "影響"
"effect_12"                                                                                    "影響"
"effect_13"                                                                                    "影響"
"effect_14"                                                                                    "影響"
"effect_15"                                                                                    "影響"
"effect_16"                                                                                    "影響"
"effect_17"                                                                                    "影響"
"effect_18"                                                                                    "影響"
"effect_19"                                                                                    "影響"
"effect_20"                                                                                    "影響"
"effect_21"                                                                                    "影響"
"effect_22"                                                                                    "影響"
"effect_23"                                                                                    "影響"
"effect_24"                                                                                    "影響"
"rating"                                                                                       "評分"
"close"                                                                                        "關"
"games"                                                                                        "遊戲"
"likes"                                                                                        "喜歡："
"team"                                                                                         "團隊"
"top"                                                                                          "最佳"
"profil"                                                                                       "輪廓"
"soon"                                                                                         "快來了！"
"points"                                                                                       "評分"
"like"                                                                                         "喜歡"
"effects"                                                                                      "效果"
"stock"                                                                                        "數量"
"consumables"                                                                                  "消耗品"
"other"                                                                                        "英雄卡"
"pc"                                                                                           "其他"
"need_kristal"                                                                                 "需要傳送水晶才能移動"
"need_trap_ticket"                                                                             "需要傳送卡才能移動"
"blacksmith"                                                                                   "黑市"
"dota_tooltip_ability_item_kristal"                                                            "傳送水晶"
"dota_tooltip_ability_item_kristal_description"                                                "允許你移動到肉山區域。"
"dota_tooltip_ability_item_trap_ticket"                                                        "傳送卡"
"dota_tooltip_ability_item_trap_ticket_description"                                            "允許您移動到陷阱區域。"
"dota_tooltip_ability_item_health_potion"                                                      "健康藥水"
"dota_tooltip_ability_item_health_potion_description"                                          "為 1000 範圍內的所有人恢復 10% 的最大生命值。"
"dota_tooltip_ability_item_mana_potion"                                                        "法力藥水"
"dota_tooltip_ability_item_mana_potion_description"                                            "為 1000 範圍內的所有人恢復 10% 的最大法力值。"
"dota_tooltip_ability_item_bag_of_gold"                                                        "金子"
"dota_tooltip_ability_item_bag_of_gold_big"                                                    "金子"
"dota_tooltip_ability_item_box_1"                                                              "有惡靈的小盒子"
"dota_tooltip_ability_item_box_1_description"                                                  "召喚惡靈。 \n不能放置在基地上！"
"dota_tooltip_ability_item_box_2"                                                              "中號有煞氣的盒子"
"dota_tooltip_ability_item_box_2_description"                                                  "召喚惡靈。 \n不能放置在基地上！"
"dota_tooltip_ability_item_box_3"                                                              "有邪靈的大箱子"
"dota_tooltip_ability_item_box_3_description"                                                  "召喚惡靈。 \n不能放置在基地上！"
"quest_item_kletka_on"                                                                         "籠"
"other_49"                                                                                     "永远的守卫"
"dota_tooltip_ability_item_forever_ward"                                                       "永远的守卫"
"dota_tooltip_ability_item_forever_ward_description"                                           "提供 1600 视野的永久守卫"
"dota_tooltip_ability_item_quest_blue_stone"                                                   "藍水晶"
"dota_tooltip_ability_item_quest_moon"                                                         "月亮項鍊"
"dota_tooltip_ability_item_quest_raindow_stone"                                                "彩虹石"
"dota_tooltip_ability_item_quest_furion_item"                                                  "Furion之杖"
"dota_tooltip_ability_item_quest_maska"                                                        "面具"
"dota_tooltip_ability_item_quest_eay"                                                          "眼睛"
"dota_tooltip_ability_item_quest_line_helm"                                                    "舵"
"dota_tooltip_ability_item_quest_line_koren"                                                   "根"
"dota_tooltip_ability_item_quest_line_ring"                                                    "戒指"
"dota_tooltip_ability_item_quest_line_skull"                                                   "顱骨"
"dota_tooltip_ability_item_quest_line_sword"                                                   "刀"
"dota_tooltip_ability_item_quest_line_dimand"                                                  "鑽石手鍊"
"dota_tooltip_ability_item_quest_line_head"                                                    "法師的帽子"
